342 : 43521 | Magnitude: 24673.458984375 | Phase_angle: 27.967147000080793
343 : 43521 | Magnitude: 24697.50390625 | Phase_angle: 27.942694922852148
344 : 43521 | Magnitude: 24691.5625 | Phase_angle: 28.710963138431644
345 : 43521 | Magnitude: 24690.962890625 | Phase_angle: 29.19812979607739
346 : 43521 | Magnitude: 24691.666015625 | Phase_angle: 29.793814499256296
347 : 43521 | Magnitude: 24690.203125 | Phase_angle: 30.401161750443
348 : 43521 | Magnitude: 24691.697265625 | Phase_angle: 33.031020222424274
349 : 43521 | Magnitude: 24691.5 | Phase_angle: 33.265947994021445
350 : 43521 | Magnitude: 24673.357421875 | Phase_angle: 38.485581972839775
351 : 43521 | Magnitude: 24673.634765625 | Phase_angle: 40.43936100001651
352 : 43521 | Magnitude: 24674.197265625 | Phase_angle: 40.777404137513365
353 : 43521 | Magnitude: 24683.93359375 | Phase_angle: 42.35829581714242
354 : 43521 | Magnitude: 24673.314453125 | Phase_angle: 44.31256320284481
355 : 43521 | Magnitude: 24704.8359375 | Phase_angle: 45.514686742050806
356 : 43521 | Magnitude: 24710.068359375 | Phase_angle: 46.32874625337337
357 : 43521 | Magnitude: 24710.033203125 | Phase_angle: 47.42312355842241
358 : 43521 | Magnitude: 24682.53515625 | Phase_angle: 49.4290715704797
359 : 43521 | Magnitude: 24682.68359375 | Phase_angle: 54.59142758291831
